Obs,Latitude,Longitude
NAH92083005,-34.0545,21.222
SHS93070803,-33.95683333,21.97316667
DOA93110201,-33.632,21.41983333
DOA93112302,-33.61433333,21.36566667
DOA93112904,-33.865,22.19283333
DOA93112905,-33.85266667,22.1855
SHS93122104,-33.85,22.41666667
SHS94012403,-33.81166667,22.10216667
SHS94020104,-33.845,21.86833333
SHS94020106,-33.84766667,21.86183333
SHS94020110,-33.83966667,21.85233333
DOA94061602,-33.45683333,21.23383333
ROO94102502,-33.45633333,21.16783333
ROO94110301,-33.45316667,21.13066667
ROO94110302,-33.455,21.11883333
SHS94062812,-33.85083333,21.835
DOA94112407,-33.436,21.2865
ROO94111107,-33.445,21.08166667
ROO94111401,-33.45766667,21.06933333
ROO94111403,-33.4585,21.07416667
ROO94111407,-33.447,21.065
ROO94111501,-33.45966667,21.0635
ROO94111504,-33.4525,21.06133333
ROO94111507,-33.44416667,21.06016667
ROO94111513,-33.45183333,21.05266667
ROO94111514,-33.45083333,21.049
ROO94111610,-33.6155,21.43233333
ROO94111615,-33.6095,21.442
ROO94112303,-33.44616667,21.39133333
TOW94111704,-33.43783333,21.4785
NAH95021201,-34.22866667,18.402
TOW95051010,-33.711,21.45583333
TOW95052302,-33.51616667,20.70916667
DOA95060103,-33.37933333,21.408
APE95081703,-34.23733333,19.14633333
AWA95092402,-34.6355,19.92416667
ROO95092405,-34.705,19.91016667
PMR95111404,-33.5235,24.0935
LYM96021607,-34.08566667,19.13766667
DEL96032001,-33.67533333,25.16583333
DEL96041701,-33.615,25.28
TOW96050603,-33.724,21.9285
TOW96050607,-33.73866667,21.93233333
TOW96050807,-33.723,21.86133333
CVV96050704,-34.26833333,18.46333333
CVV96050705,-34.27083333,18.46
CVV96050708,-34.34083333,18.47166667
NGF96080904,-33.41433333,19.05266667
NGF96081001,-33.36033333,19.07316667
NGF96080302,-34.2995,19.419
AGR96082102,-33.8955,19.2795
LYM96072404,-34.061,19.19566667
NGF96072703,-34.6305,19.79216667
NGF96072805,-34.57483333,19.76783333
LYM96083102,-32.155,19.03166667
CHE96091302,-34.17066667,19.53683333
AGR96091125,-32.69616667,18.6065
DOA96101412,-33.89916667,23.21666667
DOA96101422,-33.82516667,23.18333333
DOA96101432,-33.75983333,23.14833333
DOA96101614,-33.9915,21.78116667
DOA96100501,-33.95983333,25.528
DOA96100803,-34.04816667,21.22416667
DOA96100825,-34.29616667,21.59433333
DOA96100826,-34.313,21.5925
DOA96100931,-34.36616667,21.75533333
DOA96101629,-33.91433333,21.73766667
DOA96101631,-33.90983333,21.72633333
DOA96101634,-33.92533333,21.4215
DOA96101636,-33.9235,21.34416667
DOA96101642,-33.931,21.243
NAH96101501,-34.1985,18.41816667
AWA96101402,-33.0315,19.40666667
AWA96101804,-32.9775,19.339
AWA96111202,-33.8635,22.25816667
NAH96111506,-33.60233333,19.18716667
LYM96111701,-32.77616667,18.75916667
PJM96072803,-34.57166667,19.78283333
DJL97011610,-33.83466667,19.1275
CHE96120402,-34.464,19.83883333
TOW97011607,-33.37616667,21.76833333
NAH97012802,-34.0865,18.95533333
CHE97022009,-34.25583333,19.2865
DOA97022618,-33.692,23.13483333
NAH97030201,-33.58333333,19.65
NAH97030202,-33.58283333,19.643
DOA97040319,-33.95,21.22633333
DOA97040322,-33.92583333,21.20916667
LYM97032112,-32.252,19.17
DOA97070806,-33.66666667,24.78816667
DOA97070808,-33.65116667,24.792
DOA97070809,-33.64783333,24.7935
DOA97070810,-33.64416667,24.7995
NGF97081704,-34.681,19.75183333
CHE97081301,-33.82116667,18.99616667
CHE97091107,-34.1765,19.22716667
DJL97091103,-34.0725,19.2945
CHE97091008,-33.9865,19.1275
CHE97101608,-33.9915,19.73766667
SMR97091104,-34.086,19.28833333
CHE97100101,-33.34366667,19.52366667
LYM97112911,-34.468,19.63766667
LYM97112915,-34.49283333,19.69833333
DOA97111722,-33.35,22.3935
DOA97111725,-33.363,22.45383333
DOA97111726,-33.363,22.46083333
DOA97111923,-33.6675,23.08283333
PMR97121401,-34.09316667,20.0355
LYM98022812,-34.40983333,20.58183333
CHE98030501,-34.3,19.41766667
