OBS,Latitude,Longitude
WIJ98051601,33.95416667,21.22333333
WIJ97030903,33.93583333,20.90333333
SAS98092603,33.905,20.842
OUT97083002,33.874,22.21533333
ASP93012023,34.01,19.61183333
WIJ98051610,33.95416667,21.17333333
AWA99050804,33.93633333,21.83716667
PNR98092604,33.9095,20.815
NGFY0101401,33.967,21.29683333
DOA94110802,33.95583333,21.2205
SMRY2050208,33.74416667,19.96966667
PMR98051604,33.95083333,21.15666667
GCS99060806,33.904,20.8435
DOA94090520,33.94766667,20.35316667
DOA94090521,33.94616667,20.36083333
SHS94062205,33.90816667,21.95533333
NGF96110201,33.71366667,19.88116667
AWA98112601,33.8865,22.46883333
NIT99060806,33.9095,20.85533333
GCS99060808,33.909,20.843
DOA94110803,33.95683333,21.217
DOA94110804,33.95583333,21.214
DOA95030602,33.84866667,21.97583333
OUT97092002,33.92266667,22.06083333
DOA99082708,33.94416667,20.36983333
WIJ93020502,34.03666667,19.61166667
VCH98040503,33.855,21.97466667
LYM98040503,33.864,21.96233333
IVM98092505,33.92883333,20.85583333
OUT97092001,33.92566667,22.04516667
AGR94110820,33.967,21.23633333
NIT99060805,33.90766667,20.8425
IVM98040502,33.859,21.973
GCS99021803,33.95633333,21.21716667
WEL96052003,33.88333333,22.429
LYM98092501,33.92516667,20.85533333
DOA94090705,33.98866667,20.4135
GCS99060801,33.90983333,20.86666667
ASP93012015,34.01183333,19.615
AWA99072401,33.955,21.1715
AWA99072402,33.955,21.17616667
DJL98040301,33.87483333,22.3225
SMR98092502,33.92033333,20.85866667
IEBY0090709,34.07183333,19.78816667
AGRY3103133,33.97666667,20.3645
IVM98102804,33.869,22.215
NAH97011102,33.88816667,21.94233333
DOA94110801,33.946,21.22533333
AGR92110121,34.016,19.65666667
SHR97121404,34.064,20.015
VCH99080701,33.71933333,19.88366667
OUT94040602,33.87616667,22.03983333
AWA98063002,33.86033333,22.29466667
WIJ98103105,33.96833333,21.30083333
OUT94040603,33.88716667,22.05166667
OUT95082603,33.864,22.3015
WIJ97030913,33.92166667,20.85833333
AJT93103105,34.00716667,19.57683333
TLE98103104,33.96666667,21.29416667
JID99061607,34.07033333,19.7255
AMMY3103114,33.954,20.297
OUT94040601,33.87566667,22.0345
