OBS,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
WIJ92042001,-34.07166667,18.39166667,11.12,25.9,374.41,0.22,0.34,3.64
WIJ92050108,-33.88666667,22.41333333,7.26,30.83,348.05,0.08,0.43,2.07
NAH92062102,-34.382,19.366,6.87,29.51,363.87,0.14,0.41,3.67
NAH92062107,-34.3865,19.42633333,6.87,29.51,363.87,0.14,0.41,3.67
PAP92092408,-34.31483333,19,10.17,24.48,474.61,0.22,0.42,3.61
NAH94022006,-34.56133333,19.54916667,6.87,29.51,363.87,0.14,0.41,3.67
APE94082105,-33.8915,25.26416667,8.8,34.44,421.88,0.15,0.43,2.87
APE94080709,-34.02166667,18.40166667,11.12,25.9,374.41,0.22,0.34,3.64
OUT95041402,-33.963,21.26116667,2.65,37.4,326.95,0.03,0.41,4.69
OUT95041403,-33.96633333,21.279,2.65,37.4,326.95,0.03,0.41,4.69
MCG96042101,-33.88916667,25.26783333,8.8,34.44,421.88,0.15,0.43,2.87
JID97071401,-33.96983333,18.4,11.12,25.9,374.41,0.22,0.34,3.64
OUT97070606,-33.85,23.69166667,8.42,29.69,390.23,0.17,0.44,2.8
PMR98030101,-34.1205,18.4425,6.06,33.55,506.25,0.19,0.45,3.49
IVM98030503,-34.30766667,19.45516667,6.87,29.51,363.87,0.14,0.41,3.67
NAH98052305,-34.39316667,19.44733333,6.87,29.51,363.87,0.14,0.41,3.67
PMR98053102,-34.1825,19.17966667,1.57,36.73,458.79,0.16,0.45,3.73
SAS99080702,-33.71533333,19.86766667,-1.1,36.98,622.27,0.15,0.55,3.74
AGRY0010903,-34.44416667,19.66883333,6.87,29.51,363.87,0.14,0.41,3.67
WMPY0010903,-34.44683333,19.68,6.87,29.51,363.87,0.14,0.41,3.67
PMRY0070103,-33.795,25.092,8.8,34.44,421.88,0.15,0.43,2.87
TLEY0050603,-34.19383333,19.50316667,1.57,36.73,458.79,0.16,0.45,3.73
CBE92040403,-33.44366667,19.38166667,0.23,36.51,527.34,0.21,0.47,3.48
WIJ93051609,-34.0275,19.61333333,1.57,36.73,458.79,0.16,0.45,3.73
WIJ93102605,-33.985,20.5,2.62,36.51,290.04,0.03,0.41,4.58
WIJ93102903,-33.95333333,20.34,2.62,36.51,290.04,0.03,0.41,4.58
WIJ94061203,-33.81666667,19.15833333,1.57,36.73,458.79,0.16,0.45,3.73
OUT96092806,-33.93566667,21.72883333,4.23,35.73,305.86,0.03,0.41,4.22
AGR92040701,-33.97883333,19.28166667,1.57,36.73,458.79,0.16,0.45,3.73
GYC92070501,-33.8825,19.16183333,1.57,36.73,458.79,0.16,0.45,3.73
