,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
0,-33.95416667,21.22333333,2.65,37.4,326.95,0.03,0.41,4.69
1,-33.93583333,20.90333333,2.62,36.51,290.04,0.03,0.41,4.58
2,-33.905,20.842,2.62,36.51,290.04,0.03,0.41,4.58
3,-33.874,22.21533333,7.26,30.83,348.05,0.08,0.43,2.07
4,-34.01,19.61183333,1.57,36.73,458.79,0.16,0.45,3.73
5,-33.95416667,21.17333333,2.65,37.4,326.95,0.03,0.41,4.69
6,-33.93633333,21.83716667,4.23,35.73,305.86,0.03,0.41,4.22
7,-33.9095,20.815,2.62,36.51,290.04,0.03,0.41,4.58
8,-33.967,21.29683333,2.65,37.4,326.95,0.03,0.41,4.69
9,-33.95583333,21.2205,2.65,37.4,326.95,0.03,0.41,4.69
10,-33.74416667,19.96966667,-1.1,36.98,622.27,0.15,0.55,3.74
11,-33.95083333,21.15666667,2.65,37.4,326.95,0.03,0.41,4.69
12,-33.904,20.8435,2.62,36.51,290.04,0.03,0.41,4.58
13,-33.94766667,20.35316667,2.62,36.51,290.04,0.03,0.41,4.58
14,-33.94616667,20.36083333,2.62,36.51,290.04,0.03,0.41,4.58
15,-33.90816667,21.95533333,4.23,35.73,305.86,0.03,0.41,4.22
16,-33.71366667,19.88116667,-1.1,36.98,622.27,0.15,0.55,3.74
17,-33.8865,22.46883333,7.26,30.83,348.05,0.08,0.43,2.07
18,-33.9095,20.85533333,2.62,36.51,290.04,0.03,0.41,4.58
19,-33.909,20.843,2.62,36.51,290.04,0.03,0.41,4.58
20,-33.95683333,21.217,2.65,37.4,326.95,0.03,0.41,4.69
21,-33.95583333,21.214,2.65,37.4,326.95,0.03,0.41,4.69
22,-33.84866667,21.97583333,4.23,35.73,305.86,0.03,0.41,4.22
23,-33.92266667,22.06083333,4.23,35.73,305.86,0.03,0.41,4.22
24,-33.94416667,20.36983333,2.62,36.51,290.04,0.03,0.41,4.58
25,-34.03666667,19.61166667,1.57,36.73,458.79,0.16,0.45,3.73
26,-33.855,21.97466667,4.23,35.73,305.86,0.03,0.41,4.22
27,-33.864,21.96233333,4.23,35.73,305.86,0.03,0.41,4.22
28,-33.92883333,20.85583333,2.62,36.51,290.04,0.03,0.41,4.58
29,-33.92566667,22.04516667,4.23,35.73,305.86,0.03,0.41,4.22
30,-33.967,21.23633333,2.65,37.4,326.95,0.03,0.41,4.69
31,-33.90766667,20.8425,2.62,36.51,290.04,0.03,0.41,4.58
32,-33.859,21.973,4.23,35.73,305.86,0.03,0.41,4.22
33,-33.95633333,21.21716667,2.65,37.4,326.95,0.03,0.41,4.69
34,-33.88333333,22.429,7.26,30.83,348.05,0.08,0.43,2.07
35,-33.92516667,20.85533333,2.62,36.51,290.04,0.03,0.41,4.58
36,-33.98866667,20.4135,2.62,36.51,290.04,0.03,0.41,4.58
37,-33.90983333,20.86666667,2.62,36.51,290.04,0.03,0.41,4.58
