,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
0,-34.07166667,18.39166667,11.12,25.9,374.41,0.22,0.34,3.64
1,-33.88666667,22.41333333,7.26,30.83,348.05,0.08,0.43,2.07
2,-34.382,19.366,6.87,29.51,363.87,0.14,0.41,3.67
3,-34.3865,19.42633333,6.87,29.51,363.87,0.14,0.41,3.67
4,-34.31483333,19.0,10.17,24.48,474.61,0.22,0.42,3.61
5,-34.56133333,19.54916667,6.87,29.51,363.87,0.14,0.41,3.67
6,-33.8915,25.26416667,8.8,34.44,421.88,0.15,0.43,2.87
7,-34.02166667,18.40166667,11.12,25.9,374.41,0.22,0.34,3.64
8,-33.963,21.26116667,2.65,37.4,326.95,0.03,0.41,4.69
9,-33.96633333,21.279,2.65,37.4,326.95,0.03,0.41,4.69
10,-33.88916667,25.26783333,8.8,34.44,421.88,0.15,0.43,2.87
11,-33.96983333,18.4,11.12,25.9,374.41,0.22,0.34,3.64
12,-33.85,23.69166667,8.42,29.69,390.23,0.17,0.44,2.8
13,-34.1205,18.4425,6.06,33.55,506.25,0.19,0.45,3.49
14,-34.30766667,19.45516667,6.87,29.51,363.87,0.14,0.41,3.67
15,-34.39316667,19.44733333,6.87,29.51,363.87,0.14,0.41,3.67
16,-34.1825,19.17966667,1.57,36.73,458.79,0.16,0.45,3.73
17,-33.71533333,19.86766667,-1.1,36.98,622.27,0.15,0.55,3.74
18,-34.44416667,19.66883333,6.87,29.51,363.87,0.14,0.41,3.67
19,-34.44683333,19.68,6.87,29.51,363.87,0.14,0.41,3.67
20,-33.795,25.092,8.8,34.44,421.88,0.15,0.43,2.87
21,-34.19383333,19.50316667,1.57,36.73,458.79,0.16,0.45,3.73
22,-33.44366667,19.38166667,0.23,36.51,527.34,0.21,0.47,3.48
23,-34.0275,19.61333333,1.57,36.73,458.79,0.16,0.45,3.73
24,-33.985,20.5,2.62,36.51,290.04,0.03,0.41,4.58
25,-33.95333333,20.34,2.62,36.51,290.04,0.03,0.41,4.58
26,-33.81666667,19.15833333,1.57,36.73,458.79,0.16,0.45,3.73
27,-33.93566667,21.72883333,4.23,35.73,305.86,0.03,0.41,4.22
28,-33.97883333,19.28166667,1.57,36.73,458.79,0.16,0.45,3.73
29,-33.8825,19.16183333,1.57,36.73,458.79,0.16,0.45,3.73
30,-33.88566667,19.16016667,1.57,36.73,458.79,0.16,0.45,3.73
31,-33.88783333,19.15866667,1.57,36.73,458.79,0.16,0.45,3.73
32,-34.09416667,18.45183333,6.06,33.55,506.25,0.19,0.45,3.49
33,-34.4,19.315,6.87,29.51,363.87,0.14,0.41,3.67
34,-34.113,18.43066667,11.12,25.9,374.41,0.22,0.34,3.64
35,-34.0545,19.00916667,6.06,33.55,506.25,0.19,0.45,3.49
36,-34.04866667,18.99416667,6.06,33.55,506.25,0.19,0.45,3.49
37,-34.04683333,19.007,6.06,33.55,506.25,0.19,0.45,3.49
38,-34.04683333,19.02466667,6.06,33.55,506.25,0.19,0.45,3.49
39,-34.04683333,19.03516667,6.06,33.55,506.25,0.19,0.45,3.49
40,-34.01616667,19.1045,1.57,36.73,458.79,0.16,0.45,3.73
41,-34.04116667,19.09283333,1.57,36.73,458.79,0.16,0.45,3.73
42,-34.0595,19.0755,1.57,36.73,458.79,0.16,0.45,3.73
43,-34.06916667,19.06483333,1.57,36.73,458.79,0.16,0.45,3.73
44,-33.99633333,19.00833333,6.06,33.55,506.25,0.19,0.45,3.49
45,-33.99733333,19.01266667,6.06,33.55,506.25,0.19,0.45,3.49
46,-34.00666667,19.00966667,6.06,33.55,506.25,0.19,0.45,3.49
47,-34.009,19.00583333,6.06,33.55,506.25,0.19,0.45,3.49
48,-34.00966667,19.0005,6.06,33.55,506.25,0.19,0.45,3.49
49,-34.3175,18.864,10.17,24.48,474.61,0.22,0.42,3.61
50,-34.31433333,18.85966667,10.17,24.48,474.61,0.22,0.42,3.61
51,-34.30816667,18.843,10.17,24.48,474.61,0.22,0.42,3.61
52,-33.86533333,21.99566667,4.23,35.73,305.86,0.03,0.41,4.22
53,-33.85983333,22.01183333,4.23,35.73,305.86,0.03,0.41,4.22
54,-33.9405,21.75216667,4.23,35.73,305.86,0.03,0.41,4.22
55,-33.93833333,21.743,4.23,35.73,305.86,0.03,0.41,4.22
56,-33.93716667,21.74083333,4.23,35.73,305.86,0.03,0.41,4.22
57,-33.93766667,21.73866667,4.23,35.73,305.86,0.03,0.41,4.22
58,-33.886,22.44033333,7.26,30.83,348.05,0.08,0.43,2.07
59,-33.99833333,21.464,2.65,37.4,326.95,0.03,0.41,4.69
60,-33.98066667,21.44083333,2.65,37.4,326.95,0.03,0.41,4.69
61,-33.9775,21.44083333,2.65,37.4,326.95,0.03,0.41,4.69
62,-33.98966667,21.4435,2.65,37.4,326.95,0.03,0.41,4.69
63,-33.94816667,21.14033333,2.65,37.4,326.95,0.03,0.41,4.69
64,-33.94833333,21.13383333,2.65,37.4,326.95,0.03,0.41,4.69
65,-33.9495,21.1275,2.65,37.4,326.95,0.03,0.41,4.69
66,-33.95133333,21.1225,2.65,37.4,326.95,0.03,0.41,4.69
67,-33.95283333,21.11666667,2.65,37.4,326.95,0.03,0.41,4.69
68,-33.9625,21.25766667,2.65,37.4,326.95,0.03,0.41,4.69
69,-33.95083333,21.12416667,2.65,37.4,326.95,0.03,0.41,4.69
70,-33.95283333,20.90433333,2.62,36.51,290.04,0.03,0.41,4.58
71,-34.1975,18.41233333,11.12,25.9,374.41,0.22,0.34,3.64
72,-33.8955,22.38766667,7.26,30.83,348.05,0.08,0.43,2.07
73,-33.91666667,22.50933333,7.26,30.83,348.05,0.08,0.43,2.07
74,-33.92466667,22.516,7.26,30.83,348.05,0.08,0.43,2.07
75,-33.86266667,22.30166667,7.26,30.83,348.05,0.08,0.43,2.07
76,-33.82433333,22.9065,6.64,31.46,369.14,0.1,0.43,1.43
77,-33.82166667,22.9,6.64,31.46,369.14,0.1,0.43,1.43
78,-33.81666667,22.91016667,6.64,31.46,369.14,0.1,0.43,1.43
79,-33.81816667,22.90616667,6.64,31.46,369.14,0.1,0.43,1.43
80,-34.11583333,18.43833333,6.06,33.55,506.25,0.19,0.45,3.49
81,-33.84683333,21.95483333,4.23,35.73,305.86,0.03,0.41,4.22
82,-33.83016667,22.64816667,7.26,30.83,348.05,0.08,0.43,2.07
83,-33.8355,22.64616667,7.26,30.83,348.05,0.08,0.43,2.07
84,-34.38166667,19.33666667,6.87,29.51,363.87,0.14,0.41,3.67
85,-33.9685,18.428,11.12,25.9,374.41,0.22,0.34,3.64
86,-33.97516667,18.42183333,11.12,25.9,374.41,0.22,0.34,3.64
87,-34.31216667,18.99616667,10.17,24.48,474.61,0.22,0.42,3.61
88,-34.313,19.01666667,10.17,24.48,474.61,0.22,0.42,3.61
89,-33.92516667,23.721,8.42,29.69,390.23,0.17,0.44,2.8
90,-34.05583333,18.3865,11.12,25.9,374.41,0.22,0.34,3.64
91,-33.8725,22.40833333,7.26,30.83,348.05,0.08,0.43,2.07
92,-33.97883333,23.63816667,8.42,29.69,390.23,0.17,0.44,2.8
93,-34.07483333,18.38766667,11.12,25.9,374.41,0.22,0.34,3.64
94,-34.07066667,18.38283333,11.12,25.9,374.41,0.22,0.34,3.64
95,-33.918,23.76016667,8.42,29.69,390.23,0.17,0.44,2.8
96,-33.96366667,20.72366667,2.62,36.51,290.04,0.03,0.41,4.58
97,-33.99333333,20.50666667,2.62,36.51,290.04,0.03,0.41,4.58
98,-33.975,20.48,2.62,36.51,290.04,0.03,0.41,4.58
99,-33.95833333,20.33833333,2.62,36.51,290.04,0.03,0.41,4.58
100,-33.97166667,20.34833333,2.62,36.51,290.04,0.03,0.41,4.58
101,-34.28916667,18.92066667,10.17,24.48,474.61,0.22,0.42,3.61
102,-33.98833333,20.59,2.62,36.51,290.04,0.03,0.41,4.58
103,-34.20366667,18.90483333,6.06,33.55,506.25,0.19,0.45,3.49
104,-34.34916667,18.92883333,10.17,24.48,474.61,0.22,0.42,3.61
105,-33.99233333,18.41566667,11.12,25.9,374.41,0.22,0.34,3.64
106,-34.195,19.5055,1.57,36.73,458.79,0.16,0.45,3.73
107,-34.06033333,18.3835,11.12,25.9,374.41,0.22,0.34,3.64
108,-34.385,19.27166667,6.87,29.51,363.87,0.14,0.41,3.67
109,-33.1805,19.118,-1.39,35.69,564.26,0.2,0.49,3.73
110,-34.09416667,18.43283333,11.12,25.9,374.41,0.22,0.34,3.64
111,-33.8445,23.19133333,6.64,31.46,369.14,0.1,0.43,1.43
112,-33.84683333,23.186,6.64,31.46,369.14,0.1,0.43,1.43
113,-34.30183333,19.01283333,10.17,24.48,474.61,0.22,0.42,3.61
114,-33.952,21.11883333,2.65,37.4,326.95,0.03,0.41,4.69
115,-33.94233333,21.1435,2.65,37.4,326.95,0.03,0.41,4.69
116,-33.94183333,21.13583333,2.65,37.4,326.95,0.03,0.41,4.69
117,-34.21833333,18.44833333,6.06,33.55,506.25,0.19,0.45,3.49
118,-34.31266667,18.99833333,10.17,24.48,474.61,0.22,0.42,3.61
